store_id,product_id,city_name,company_name,branch_name,product_name,stock_hour6_22_cnt,day_1_forecast,day_1_alert,day_2_forecast,day_2_alert,day_3_forecast,day_3_alert,day_4_forecast,day_4_alert,day_5_forecast,day_5_alert,day_6_forecast,day_6_alert,day_7_forecast,day_7_alert
742,835,Patna,Company_742,Branch_742,Product_835,0,2.29,UNDERSTOCK,4.47,UNDERSTOCK,6.56,UNDERSTOCK,8.0,UNDERSTOCK,14.17,UNDERSTOCK,18.12,UNDERSTOCK,32.98,UNDERSTOCK
896,118,Chandigarh,Company_896,Branch_896,Sofa,0,5.43,UNDERSTOCK,7.8,UNDERSTOCK,10.31,UNDERSTOCK,16.52,UNDERSTOCK,25.43,UNDERSTOCK,49.37,UNDERSTOCK,57.32,UNDERSTOCK
457,220,Bhopal,Company_457,Branch_457,Tablet (Extra),1,3.75,UNDERSTOCK,6.4,UNDERSTOCK,11.64,UNDERSTOCK,16.72,UNDERSTOCK,27.28,UNDERSTOCK,43.3,UNDERSTOCK,54.0,UNDERSTOCK
457,401,Bhopal,Company_457,Branch_457,Foundation (Extra2),1,3.53,UNDERSTOCK,7.23,UNDERSTOCK,10.93,UNDERSTOCK,15.11,UNDERSTOCK,22.23,UNDERSTOCK,38.59,UNDERSTOCK,68.88,UNDERSTOCK
735,857,Patna,Company_735,Branch_735,Product_857,0,3.24,UNDERSTOCK,7.0,UNDERSTOCK,11.32,UNDERSTOCK,14.99,UNDERSTOCK,20.94,UNDERSTOCK,35.77,UNDERSTOCK,61.95,UNDERSTOCK
66,589,Mumbai,Spencer,Branch 7,Product_589,0,2.37,UNDERSTOCK,6.11,UNDERSTOCK,11.3,UNDERSTOCK,12.42,UNDERSTOCK,22.11,UNDERSTOCK,39.69,UNDERSTOCK,65.24,UNDERSTOCK
102,655,Lucknow,MoreSuper,Branch 19,Product_655,8,1.64,OVERSTOCK,4.26,OK,8.7,UNDERSTOCK,11.27,UNDERSTOCK,16.96,UNDERSTOCK,31.17,UNDERSTOCK,61.46,UNDERSTOCK
125,447,Mumbai,Vishal,Branch 18,Lunch Box (Extra3),16,1.51,OVERSTOCK,4.3,OVERSTOCK,9.14,OK,10.54,OK,17.7,UNDERSTOCK,31.19,UNDERSTOCK,67.23,UNDERSTOCK
123,523,Mumbai,Vishal,Branch 16,Product_523,0,2.2,UNDERSTOCK,4.97,UNDERSTOCK,7.71,UNDERSTOCK,11.73,UNDERSTOCK,16.3,UNDERSTOCK,27.82,UNDERSTOCK,52.57,UNDERSTOCK
21,295,Chandigarh,Vishal,Branch 10,Baby Oil (Extra),0,3.62,UNDERSTOCK,7.28,UNDERSTOCK,9.33,UNDERSTOCK,14.34,UNDERSTOCK,19.66,UNDERSTOCK,33.03,UNDERSTOCK,58.94,UNDERSTOCK
31,45,Mumbai,Reliance,Branch 8,Juice,0,2.4,UNDERSTOCK,6.52,UNDERSTOCK,10.45,UNDERSTOCK,13.62,UNDERSTOCK,17.87,UNDERSTOCK,30.32,UNDERSTOCK,56.9,UNDERSTOCK
66,392,Mumbai,Spencer,Branch 7,Towel (Extra2),0,3.92,UNDERSTOCK,3.83,UNDERSTOCK,4.89,UNDERSTOCK,9.23,UNDERSTOCK,15.99,UNDERSTOCK,27.84,UNDERSTOCK,44.85,UNDERSTOCK
318,678,Ahmedabad,Company_318,Branch_318,Product_678,4,2.45,OK,6.51,UNDERSTOCK,10.71,UNDERSTOCK,12.67,UNDERSTOCK,17.41,UNDERSTOCK,29.7,UNDERSTOCK,62.06,UNDERSTOCK
267,272,Ahmedabad,Company_267,Branch_267,Shower Gel (Extra),0,2.28,UNDERSTOCK,4.85,UNDERSTOCK,7.08,UNDERSTOCK,12.21,UNDERSTOCK,15.96,UNDERSTOCK,26.87,UNDERSTOCK,51.85,UNDERSTOCK
66,4,Mumbai,Spencer,Branch 7,Grapes,0,9.48,UNDERSTOCK,8.4,UNDERSTOCK,11.69,UNDERSTOCK,20.93,UNDERSTOCK,32.2,UNDERSTOCK,64.56,UNDERSTOCK,67.72,UNDERSTOCK
45,286,Delhi,MoreSuper,Branch 10,Razor (Extra),6,3.28,OK,7.93,UNDERSTOCK,12.57,UNDERSTOCK,16.05,UNDERSTOCK,25.19,UNDERSTOCK,59.46,UNDERSTOCK,73.46,UNDERSTOCK
896,541,Chandigarh,Company_896,Branch_896,Product_541,0,5.64,UNDERSTOCK,6.82,UNDERSTOCK,6.46,UNDERSTOCK,9.38,UNDERSTOCK,20.23,UNDERSTOCK,30.01,UNDERSTOCK,54.11,UNDERSTOCK
76,218,Bhopal,StarBazaar,Branch 5,Mobile (Extra),0,2.17,UNDERSTOCK,4.83,UNDERSTOCK,6.52,UNDERSTOCK,8.26,UNDERSTOCK,17.78,UNDERSTOCK,26.69,UNDERSTOCK,54.59,UNDERSTOCK
306,190,Kolkata,Company_306,Branch_306,Notebook (Extra),0,3.73,UNDERSTOCK,8.14,UNDERSTOCK,9.28,UNDERSTOCK,17.96,UNDERSTOCK,26.05,UNDERSTOCK,64.99,UNDERSTOCK,80.79,UNDERSTOCK
381,579,Mumbai,Company_381,Branch_381,Product_579,1,3.86,UNDERSTOCK,6.85,UNDERSTOCK,10.12,UNDERSTOCK,13.25,UNDERSTOCK,18.37,UNDERSTOCK,30.61,UNDERSTOCK,55.82,UNDERSTOCK
749,763,Hyderabad,Company_749,Branch_749,Product_763,0,4.67,UNDERSTOCK,8.98,UNDERSTOCK,12.46,UNDERSTOCK,13.88,UNDERSTOCK,20.79,UNDERSTOCK,33.09,UNDERSTOCK,59.1,UNDERSTOCK
66,731,Mumbai,Spencer,Branch 7,Product_731,0,1.99,UNDERSTOCK,5.1,UNDERSTOCK,6.62,UNDERSTOCK,8.14,UNDERSTOCK,15.92,UNDERSTOCK,22.21,UNDERSTOCK,34.48,UNDERSTOCK
875,258,Patna,Company_875,Branch_875,Fork (Extra),0,2.89,UNDERSTOCK,6.44,UNDERSTOCK,8.6,UNDERSTOCK,12.36,UNDERSTOCK,17.1,UNDERSTOCK,28.73,UNDERSTOCK,54.09,UNDERSTOCK
897,580,Chandigarh,Company_897,Branch_897,Product_580,0,7.05,UNDERSTOCK,9.53,UNDERSTOCK,12.78,UNDERSTOCK,21.36,UNDERSTOCK,33.83,UNDERSTOCK,49.09,UNDERSTOCK,53.37,UNDERSTOCK
834,117,Kolkata,Company_834,Branch_834,Table,0,5.86,UNDERSTOCK,7.29,UNDERSTOCK,11.88,UNDERSTOCK,15.49,UNDERSTOCK,24.65,UNDERSTOCK,51.19,UNDERSTOCK,65.17,UNDERSTOCK
16,80,Hyderabad,Vishal,Branch 5,Backpack,0,2.5,UNDERSTOCK,5.28,UNDERSTOCK,5.21,UNDERSTOCK,2.49,UNDERSTOCK,5.7,UNDERSTOCK,9.05,UNDERSTOCK,15.79,UNDERSTOCK
427,650,Hyderabad,Company_427,Branch_427,Product_650,3,3.67,UNDERSTOCK,6.77,UNDERSTOCK,9.61,UNDERSTOCK,16.93,UNDERSTOCK,24.41,UNDERSTOCK,39.71,UNDERSTOCK,50.43,UNDERSTOCK
33,531,Mumbai,Reliance,Branch 10,Product_531,2,3.85,UNDERSTOCK,8.0,UNDERSTOCK,11.38,UNDERSTOCK,14.99,UNDERSTOCK,20.48,UNDERSTOCK,31.58,UNDERSTOCK,56.07,UNDERSTOCK
42,864,Delhi,MoreSuper,Branch 7,Product_864,0,2.19,UNDERSTOCK,5.24,UNDERSTOCK,7.48,UNDERSTOCK,11.14,UNDERSTOCK,15.66,UNDERSTOCK,24.96,UNDERSTOCK,48.82,UNDERSTOCK
102,117,Lucknow,MoreSuper,Branch 19,Table,11,4.75,OVERSTOCK,7.18,OK,11.59,UNDERSTOCK,16.08,UNDERSTOCK,26.1,UNDERSTOCK,48.81,UNDERSTOCK,60.71,UNDERSTOCK
45,441,Delhi,MoreSuper,Branch 10,File (Extra3),12,5.81,OVERSTOCK,12.23,UNDERSTOCK,15.37,UNDERSTOCK,18.7,UNDERSTOCK,35.75,UNDERSTOCK,67.26,UNDERSTOCK,75.03,UNDERSTOCK
136,320,Ahmedabad,Reliance,Branch 17,File (Extra2),0,2.72,UNDERSTOCK,7.69,UNDERSTOCK,11.46,UNDERSTOCK,15.47,UNDERSTOCK,19.5,UNDERSTOCK,33.4,UNDERSTOCK,61.31,UNDERSTOCK
136,678,Ahmedabad,Reliance,Branch 17,Product_678,4,4.56,UNDERSTOCK,8.03,UNDERSTOCK,8.85,UNDERSTOCK,14.46,UNDERSTOCK,17.26,UNDERSTOCK,31.49,UNDERSTOCK,55.93,UNDERSTOCK
102,122,Lucknow,MoreSuper,Branch 19,Blanket,13,4.71,OVERSTOCK,8.0,OK,9.57,OK,17.23,UNDERSTOCK,25.15,UNDERSTOCK,62.91,UNDERSTOCK,76.49,UNDERSTOCK
133,343,Bhopal,Reliance,Branch 14,Charger (Extra2),0,2.25,UNDERSTOCK,4.93,UNDERSTOCK,8.08,UNDERSTOCK,10.61,UNDERSTOCK,11.57,UNDERSTOCK,16.1,UNDERSTOCK,25.89,UNDERSTOCK
270,320,Delhi,Company_270,Branch_270,File (Extra2),0,2.69,UNDERSTOCK,6.54,UNDERSTOCK,10.15,UNDERSTOCK,12.89,UNDERSTOCK,16.61,UNDERSTOCK,28.39,UNDERSTOCK,63.55,UNDERSTOCK
7,544,Hyderabad,Dmart,Branch 8,Product_544,0,3.34,UNDERSTOCK,5.74,UNDERSTOCK,7.23,UNDERSTOCK,12.31,UNDERSTOCK,11.23,UNDERSTOCK,17.65,UNDERSTOCK,28.73,UNDERSTOCK
880,291,Kolkata,Company_880,Branch_880,Dental Floss (Extra),6,2.46,OVERSTOCK,5.76,OK,7.01,UNDERSTOCK,11.18,UNDERSTOCK,13.89,UNDERSTOCK,20.86,UNDERSTOCK,36.02,UNDERSTOCK
32,381,Mumbai,Reliance,Branch 9,Pan (Extra2),0,3.51,UNDERSTOCK,5.03,UNDERSTOCK,4.85,UNDERSTOCK,2.3,UNDERSTOCK,6.42,UNDERSTOCK,13.09,UNDERSTOCK,22.93,UNDERSTOCK
30,332,Mumbai,Reliance,Branch 7,Fan (Extra2),5,3.4,OK,5.93,UNDERSTOCK,7.48,UNDERSTOCK,8.59,UNDERSTOCK,14.22,UNDERSTOCK,21.95,UNDERSTOCK,38.86,UNDERSTOCK
31,195,Mumbai,Reliance,Branch 8,Rubber Band (Extra),1,4.6,UNDERSTOCK,11.08,UNDERSTOCK,12.59,UNDERSTOCK,17.0,UNDERSTOCK,27.87,UNDERSTOCK,54.66,UNDERSTOCK,60.63,UNDERSTOCK
48,590,Delhi,BigBazaar,Branch 1,Product_590,0,6.53,UNDERSTOCK,6.74,UNDERSTOCK,9.3,UNDERSTOCK,16.69,UNDERSTOCK,23.88,UNDERSTOCK,49.43,UNDERSTOCK,58.96,UNDERSTOCK
136,350,Ahmedabad,Reliance,Branch 17,Scanner (Extra2),9,2.11,OVERSTOCK,4.28,OVERSTOCK,8.35,OK,11.42,UNDERSTOCK,14.33,UNDERSTOCK,22.81,UNDERSTOCK,56.37,UNDERSTOCK
733,291,Hyderabad,Company_733,Branch_733,Dental Floss (Extra),0,2.14,UNDERSTOCK,4.54,UNDERSTOCK,4.68,UNDERSTOCK,5.8,UNDERSTOCK,9.62,UNDERSTOCK,12.29,UNDERSTOCK,16.44,UNDERSTOCK
735,704,Patna,Company_735,Branch_735,Product_704,0,2.31,UNDERSTOCK,5.81,UNDERSTOCK,8.75,UNDERSTOCK,10.92,UNDERSTOCK,15.23,UNDERSTOCK,22.5,UNDERSTOCK,54.74,UNDERSTOCK
27,521,Mumbai,Reliance,Branch 4,Product_521,3,6.45,UNDERSTOCK,4.12,UNDERSTOCK,2.1,OK,3.69,UNDERSTOCK,3.26,UNDERSTOCK,8.01,UNDERSTOCK,13.34,UNDERSTOCK
27,599,Mumbai,Reliance,Branch 4,Product_599,0,3.34,UNDERSTOCK,4.57,UNDERSTOCK,4.8,UNDERSTOCK,3.96,UNDERSTOCK,3.66,UNDERSTOCK,5.51,UNDERSTOCK,13.13,UNDERSTOCK
457,656,Bhopal,Company_457,Branch_457,Product_656,2,4.14,UNDERSTOCK,6.88,UNDERSTOCK,10.12,UNDERSTOCK,16.05,UNDERSTOCK,25.75,UNDERSTOCK,40.42,UNDERSTOCK,51.13,UNDERSTOCK
733,215,Hyderabad,Company_733,Branch_733,Headphones (Extra),0,5.32,UNDERSTOCK,9.35,UNDERSTOCK,12.42,UNDERSTOCK,16.4,UNDERSTOCK,27.56,UNDERSTOCK,56.11,UNDERSTOCK,67.03,UNDERSTOCK
83,523,Ahmedabad,StarBazaar,Branch 12,Product_523,0,2.96,UNDERSTOCK,7.01,UNDERSTOCK,10.23,UNDERSTOCK,14.41,UNDERSTOCK,18.36,UNDERSTOCK,29.6,UNDERSTOCK,53.62,UNDERSTOCK
80,694,Bhopal,StarBazaar,Branch 9,Product_694,0,4.48,UNDERSTOCK,4.23,UNDERSTOCK,4.57,UNDERSTOCK,4.99,UNDERSTOCK,8.71,UNDERSTOCK,15.27,UNDERSTOCK,25.12,UNDERSTOCK
267,748,Ahmedabad,Company_267,Branch_267,Product_748,0,2.05,UNDERSTOCK,4.79,UNDERSTOCK,7.31,UNDERSTOCK,12.16,UNDERSTOCK,14.92,UNDERSTOCK,24.41,UNDERSTOCK,47.76,UNDERSTOCK
510,476,Patna,Company_510,Branch_510,Product_476,8,4.07,OK,7.35,OK,10.56,UNDERSTOCK,15.81,UNDERSTOCK,22.2,UNDERSTOCK,36.62,UNDERSTOCK,63.18,UNDERSTOCK
136,461,Ahmedabad,Reliance,Branch 17,Product_461,1,4.0,UNDERSTOCK,5.84,UNDERSTOCK,6.78,UNDERSTOCK,11.55,UNDERSTOCK,20.58,UNDERSTOCK,30.51,UNDERSTOCK,44.99,UNDERSTOCK
136,599,Ahmedabad,Reliance,Branch 17,Product_599,6,3.5,OK,6.4,UNDERSTOCK,8.65,UNDERSTOCK,12.79,UNDERSTOCK,22.53,UNDERSTOCK,37.22,UNDERSTOCK,55.73,UNDERSTOCK
21,129,Chandigarh,Vishal,Branch 10,Planter,16,6.3,OVERSTOCK,6.13,OVERSTOCK,4.58,OVERSTOCK,3.96,OVERSTOCK,4.0,OVERSTOCK,11.39,OK,18.86,UNDERSTOCK
54,305,Surat,BigBazaar,Branch 7,Toy Car (Extra),3,3.55,UNDERSTOCK,9.79,UNDERSTOCK,14.85,UNDERSTOCK,20.42,UNDERSTOCK,31.11,UNDERSTOCK,51.61,UNDERSTOCK,60.78,UNDERSTOCK
48,447,Delhi,BigBazaar,Branch 1,Lunch Box (Extra3),0,8.88,UNDERSTOCK,11.18,UNDERSTOCK,14.42,UNDERSTOCK,22.01,UNDERSTOCK,48.42,UNDERSTOCK,59.21,UNDERSTOCK,60.26,UNDERSTOCK
123,731,Mumbai,Vishal,Branch 16,Product_731,0,2.6,UNDERSTOCK,6.47,UNDERSTOCK,10.25,UNDERSTOCK,13.91,UNDERSTOCK,18.47,UNDERSTOCK,29.16,UNDERSTOCK,53.12,UNDERSTOCK
120,254,Mumbai,Vishal,Branch 13,Bowl (Extra),4,3.18,OK,6.49,UNDERSTOCK,7.8,UNDERSTOCK,10.62,UNDERSTOCK,15.43,UNDERSTOCK,23.43,UNDERSTOCK,44.62,UNDERSTOCK
3,596,Lucknow,Dmart,Branch 4,Product_596,5,4.98,OK,6.57,UNDERSTOCK,7.34,UNDERSTOCK,12.08,UNDERSTOCK,22.46,UNDERSTOCK,32.96,UNDERSTOCK,44.97,UNDERSTOCK
3,740,Lucknow,Dmart,Branch 4,Product_740,7,3.52,OK,3.77,OK,3.41,OVERSTOCK,4.92,OK,10.81,UNDERSTOCK,11.98,UNDERSTOCK,21.26,UNDERSTOCK
267,4,Ahmedabad,Company_267,Branch_267,Grapes,0,5.64,UNDERSTOCK,10.51,UNDERSTOCK,11.74,UNDERSTOCK,19.64,UNDERSTOCK,31.04,UNDERSTOCK,59.99,UNDERSTOCK,64.4,UNDERSTOCK
270,317,Delhi,Company_270,Branch_270,Rubber Band (Extra2),0,4.54,UNDERSTOCK,7.35,UNDERSTOCK,10.12,UNDERSTOCK,15.69,UNDERSTOCK,21.84,UNDERSTOCK,31.3,UNDERSTOCK,54.63,UNDERSTOCK
3,793,Lucknow,Dmart,Branch 4,Product_793,10,3.74,OVERSTOCK,4.13,OVERSTOCK,3.84,OVERSTOCK,6.06,OK,13.78,UNDERSTOCK,21.24,UNDERSTOCK,34.38,UNDERSTOCK
25,332,Mumbai,Reliance,Branch 2,Fan (Extra2),0,5.77,UNDERSTOCK,9.3,UNDERSTOCK,13.08,UNDERSTOCK,18.37,UNDERSTOCK,29.35,UNDERSTOCK,53.33,UNDERSTOCK,60.11,UNDERSTOCK
72,146,Ahmedabad,StarBazaar,Branch 1,Mop,0,2.3,UNDERSTOCK,4.8,UNDERSTOCK,7.25,UNDERSTOCK,12.09,UNDERSTOCK,14.9,UNDERSTOCK,24.55,UNDERSTOCK,47.82,UNDERSTOCK
77,132,Bhopal,StarBazaar,Branch 6,Bowl,15,6.27,OVERSTOCK,8.33,OK,10.33,OK,16.38,UNDERSTOCK,24.82,UNDERSTOCK,57.72,UNDERSTOCK,67.35,UNDERSTOCK
68,252,Bhopal,Spencer,Branch 9,Pot (Extra),2,2.93,UNDERSTOCK,7.93,UNDERSTOCK,7.87,UNDERSTOCK,13.39,UNDERSTOCK,20.62,UNDERSTOCK,29.44,UNDERSTOCK,50.83,UNDERSTOCK
864,441,Kolkata,Company_864,Branch_864,File (Extra3),0,2.97,UNDERSTOCK,9.05,UNDERSTOCK,10.23,UNDERSTOCK,15.86,UNDERSTOCK,24.12,UNDERSTOCK,52.54,UNDERSTOCK,60.88,UNDERSTOCK
37,521,Surat,MoreSuper,Branch 2,Product_521,4,7.3,UNDERSTOCK,13.27,UNDERSTOCK,14.19,UNDERSTOCK,26.26,UNDERSTOCK,51.08,UNDERSTOCK,61.37,UNDERSTOCK,61.37,UNDERSTOCK
32,580,Mumbai,Reliance,Branch 9,Product_580,0,5.26,UNDERSTOCK,7.27,UNDERSTOCK,8.21,UNDERSTOCK,15.64,UNDERSTOCK,24.05,UNDERSTOCK,34.46,UNDERSTOCK,47.99,UNDERSTOCK
3,481,Lucknow,Dmart,Branch 4,Product_481,0,2.46,UNDERSTOCK,4.57,UNDERSTOCK,4.04,UNDERSTOCK,2.92,UNDERSTOCK,4.5,UNDERSTOCK,6.17,UNDERSTOCK,14.76,UNDERSTOCK
286,215,Bhopal,Company_286,Branch_286,Headphones (Extra),2,9.55,UNDERSTOCK,9.96,UNDERSTOCK,11.95,UNDERSTOCK,24.27,UNDERSTOCK,31.7,UNDERSTOCK,56.94,UNDERSTOCK,64.6,UNDERSTOCK
101,118,Lucknow,MoreSuper,Branch 18,Sofa,5,4.35,OK,7.29,UNDERSTOCK,12.74,UNDERSTOCK,15.71,UNDERSTOCK,24.82,UNDERSTOCK,37.58,UNDERSTOCK,48.41,UNDERSTOCK
76,775,Bhopal,StarBazaar,Branch 5,Product_775,0,4.24,UNDERSTOCK,7.42,UNDERSTOCK,12.81,UNDERSTOCK,17.89,UNDERSTOCK,28.37,UNDERSTOCK,48.58,UNDERSTOCK,56.43,UNDERSTOCK
102,596,Lucknow,MoreSuper,Branch 19,Product_596,4,4.06,UNDERSTOCK,5.44,UNDERSTOCK,8.3,UNDERSTOCK,13.16,UNDERSTOCK,20.55,UNDERSTOCK,28.17,UNDERSTOCK,41.69,UNDERSTOCK
45,583,Delhi,MoreSuper,Branch 10,Product_583,8,2.12,OVERSTOCK,4.85,OK,9.2,UNDERSTOCK,11.06,UNDERSTOCK,14.86,UNDERSTOCK,23.87,UNDERSTOCK,55.55,UNDERSTOCK
45,66,Delhi,MoreSuper,Branch 10,Gloves,1,3.45,UNDERSTOCK,8.54,UNDERSTOCK,9.49,UNDERSTOCK,14.97,UNDERSTOCK,20.73,UNDERSTOCK,30.68,UNDERSTOCK,60.97,UNDERSTOCK
354,381,Delhi,Company_354,Branch_354,Pan (Extra2),0,5.88,UNDERSTOCK,7.91,UNDERSTOCK,13.43,UNDERSTOCK,21.15,UNDERSTOCK,34.79,UNDERSTOCK,63.37,UNDERSTOCK,73.16,UNDERSTOCK
102,14,Lucknow,MoreSuper,Branch 19,Cabbage,0,3.01,UNDERSTOCK,6.52,UNDERSTOCK,9.53,UNDERSTOCK,14.28,UNDERSTOCK,17.98,UNDERSTOCK,27.49,UNDERSTOCK,51.23,UNDERSTOCK
632,666,Kanpur,Company_632,Branch_632,Product_666,0,2.95,UNDERSTOCK,9.67,UNDERSTOCK,10.65,UNDERSTOCK,12.26,UNDERSTOCK,20.33,UNDERSTOCK,31.91,UNDERSTOCK,41.39,UNDERSTOCK
92,864,Delhi,EasyDay,Branch 9,Product_864,0,4.91,UNDERSTOCK,10.27,UNDERSTOCK,7.93,UNDERSTOCK,10.57,UNDERSTOCK,17.72,UNDERSTOCK,29.7,UNDERSTOCK,51.11,UNDERSTOCK
4,580,Lucknow,Dmart,Branch 5,Product_580,4,7.11,UNDERSTOCK,12.02,UNDERSTOCK,13.13,UNDERSTOCK,24.64,UNDERSTOCK,40.52,UNDERSTOCK,49.95,UNDERSTOCK,53.41,UNDERSTOCK
76,115,Bhopal,StarBazaar,Branch 5,Calendar,0,2.54,UNDERSTOCK,7.17,UNDERSTOCK,5.7,UNDERSTOCK,3.55,UNDERSTOCK,6.12,UNDERSTOCK,10.1,UNDERSTOCK,17.87,UNDERSTOCK
75,269,Ahmedabad,StarBazaar,Branch 4,Broom (Extra),0,7.39,UNDERSTOCK,10.09,UNDERSTOCK,14.14,UNDERSTOCK,23.02,UNDERSTOCK,33.22,UNDERSTOCK,58.05,UNDERSTOCK,62.78,UNDERSTOCK
639,530,Indore,Company_639,Branch_639,Product_530,0,5.85,UNDERSTOCK,7.49,UNDERSTOCK,8.6,UNDERSTOCK,12.87,UNDERSTOCK,15.92,UNDERSTOCK,28.54,UNDERSTOCK,50.09,UNDERSTOCK
852,775,Kolkata,Company_852,Branch_852,Product_775,16,3.96,OVERSTOCK,7.41,OVERSTOCK,9.66,OK,7.64,OVERSTOCK,11.88,OK,20.09,UNDERSTOCK,28.18,UNDERSTOCK
830,190,Kolkata,Company_830,Branch_830,Notebook (Extra),0,3.03,UNDERSTOCK,9.32,UNDERSTOCK,10.92,UNDERSTOCK,14.61,UNDERSTOCK,23.41,UNDERSTOCK,40.44,UNDERSTOCK,65.83,UNDERSTOCK
318,286,Ahmedabad,Company_318,Branch_318,Razor (Extra),0,5.4,UNDERSTOCK,8.41,UNDERSTOCK,9.26,UNDERSTOCK,10.23,UNDERSTOCK,15.0,UNDERSTOCK,28.3,UNDERSTOCK,50.09,UNDERSTOCK
734,707,Hyderabad,Company_734,Branch_734,Product_707,0,3.85,UNDERSTOCK,7.15,UNDERSTOCK,9.13,UNDERSTOCK,14.2,UNDERSTOCK,20.93,UNDERSTOCK,32.48,UNDERSTOCK,43.14,UNDERSTOCK
3,273,Lucknow,Dmart,Branch 4,Face Wash (Extra),0,2.93,UNDERSTOCK,7.48,UNDERSTOCK,8.13,UNDERSTOCK,7.7,UNDERSTOCK,6.77,UNDERSTOCK,11.23,UNDERSTOCK,19.41,UNDERSTOCK
21,244,Chandigarh,Vishal,Branch 10,Blanket (Extra),0,5.03,UNDERSTOCK,11.35,UNDERSTOCK,7.81,UNDERSTOCK,9.16,UNDERSTOCK,16.83,UNDERSTOCK,29.98,UNDERSTOCK,56.3,UNDERSTOCK
